State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,22.0,29.0,39.0,51.0,78.0,106.0,131.0,167.0,196.0,242.0,386.0,531.0,639.0,717.0,825.0,941.0,997.0,1106.0,1270.0,1534.0,1632.0,1840.0,2003.0,2197.0,2499.0,2838.0,3007.0,3262.0,3582.0,3800.0,3951.0,4237.0,4400.0,4515.0,4719.0,4897.0,5074.0,5317.0,5598.0,5825.0,6026.0,6213.0,6417.0,6537.0,6744.0,6916.0,7063.0,7294.0,7611.0,7885.0,8110.0,8436.0,8691.0,9046.0,9384.0,9668.0,9889.0,10164.0,10468.0,10699.0,11094.0,11387.0,11671.0,11768.0,12078.0,12374.0,13049.0,13410.0,13670.0,14152.0,14507.0,15194.0,15648.0,16029.0,16553.0,17031.0
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,10.0,16.0,20.0,23.0,37.0,42.0,59.0,69.0,85.0,102.0,114.0,119.0,133.0,142.0,147.0,157.0,171.0,185.0,191.0,213.0,226.0,236.0,247.0,258.0,273.0,278.0,286.0,294.0,301.0,310.0,315.0,320.0,322.0,330.0,336.0,338.0,340.0,340.0,342.0,346.0,352.0,356.0,356.0,365.0,366.0,369.0,371.0,372.0,373.0,375.0,378.0,379.0,380.0,382.0,384.0,384.0,388.0,388.0,388.0,397.0,400.0,400.0,402.0,402.0,404.0,408.0,408.0,409.0,411.0,412.0,425.0,430.0
Arizona,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,6.0,10.0,10.0,10.0,12.0,12.0,18.0,20.0,27.0,44.0,63.0,103.0,152.0,234.0,326.0,401.0,508.0,663.0,773.0,919.0,1154.0,1289.0,1414.0,1596.0,1769.0,2018.0,2269.0,2456.0,2575.0,2726.0,3018.0,3111.0,3393.0,3539.0,3701.0,3806.0,3962.0,4234.0,4507.0,4718.0,4928.0,5064.0,5251.0,5459.0,5768.0,6043.0,6280.0,6526.0,6716.0,6948.0,7202.0,7648.0,7961.0,8364.0,8640.0,8919.0,9304.0,9706.0,9944.0,10526.0,10960.0,11118.0,11379.0,11735.0,12175.0,12673.0,13168.0,13631.0,13937.0,14170.0,14566.0,14897.0,15315.0,15607.0,16039.0,16339.0,16560.0,16782.0,17261.0,17763.0,18465.0
Arkansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,12.0,16.0,22.0,28.0,37.0,62.0,100.0,118.0,165.0,192.0,222.0,296.0,328.0,375.0,403.0,445.0,504.0,560.0,621.0,678.0,732.0,740.0,853.0,927.0,997.0,1077.0,1146.0,1201.0,1227.0,1276.0,1472.0,1495.0,1593.0,1615.0,1690.0,1776.0,1779.0,1969.0,2260.0,2391.0,2598.0,2807.0,2907.0,2998.0,3064.0,3122.0,3201.0,3269.0,3304.0,3358.0,3417.0,3461.0,3522.0,3607.0,3692.0,3745.0,3745.0,4007.0,4038.0,4161.0,4235.0,4365.0,4462.0,4576.0,4758.0,4812.0,4922.0,5002.0,5456.0,5610.0,5772.0,5920.0,6028.0,6177.0,6277.0,6532.0,6777.0
California,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,12.0,12.0,12.0,13.0,13.0,15.0,16.0,18.0,22.0,22.0,30.0,34.0,48.0,62.0,79.0,119.0,131.0,194.0,221.0,326.0,352.0,406.0,504.0,621.0,740.0,923.0,1107.0,1318.0,1597.0,1804.0,2105.0,2587.0,2990.0,3518.0,4368.0,5226.0,6058.0,6707.0,7643.0,8815.0,10172.0,11397.0,12755.0,14055.0,15356.0,16545.0,17706.0,19191.0,20337.0,21566.0,22562.0,23433.0,24437.0,25859.0,27097.0,28126.0,29420.0,30829.0,31591.0,33869.0,35814.0,37688.0,39556.0,41317.0,42565.0,43673.0,45172.0,46414.0,48795.0,50322.0,52204.0,53647.0,54901.0,56140.0,58695.0,60636.0,62302.0,64505.0,66739.0,67931.0,69340.0,70978.0,73035.0,74861.0,76898.0,78734.0,80113.0,81834.0,83785.0,86003.0,88225.0,90674.0,92550.0,94323.0,96527.0,99746.0,101758.0,103870.0,106518.0
Colorado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,7.0,14.0,18.0,24.0,49.0,77.0,101.0,131.0,160.0,183.0,183.0,277.0,362.0,475.0,591.0,720.0,911.0,1086.0,1429.0,1732.0,2061.0,2306.0,2624.0,2965.0,3341.0,3724.0,4173.0,4565.0,4950.0,5172.0,5429.0,5655.0,6098.0,6322.0,6638.0,6898.0,7128.0,7290.0,7493.0,8675.0,9046.0,9426.0,9723.0,10100.0,10440.0,10871.0,11182.0,12171.0,12884.0,13355.0,13793.0,14304.0,14745.0,15261.0,15766.0,16224.0,16624.0,16902.0,17364.0,17830.0,18371.0,18827.0,19371.0,19697.0,19875.0,20152.0,20467.0,20830.0,21224.0,21624.0,21927.0,22196.0,22475.0,22797.0,23178.0,23485.0,23954.0,24157.0,24248.0,24542.0,24766.0,25121.0,25613.0
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,8.0,20.0,26.0,41.0,68.0,96.0,159.0,194.0,223.0,327.0,415.0,618.0,875.0,1012.0,1291.0,1524.0,1993.0,2571.0,3128.0,3557.0,3824.0,4915.0,5276.0,5675.0,6906.0,7781.0,8781.0,9784.0,10538.0,11510.0,12035.0,13381.0,13989.0,14753.0,15884.0,16809.0,17550.0,17962.0,19815.0,20360.0,22469.0,23100.0,23921.0,24582.0,25269.0,25997.0,26312.0,26767.0,27700.0,28764.0,29287.0,29287.0,29973.0,30621.0,30995.0,31783.0,32411.0,32984.0,33554.0,33765.0,34333.0,34855.0,35464.0,36085.0,36703.0,37419.0,38116.0,38430.0,39016.0,39203.0,39640.0,40022.0,40465.0,40873.0,41234.0,41288.0,41559.0,41762.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,7.0,8.0,17.0,26.0,30.0,39.0,45.0,56.0,87.0,104.0,119.0,119.0,165.0,214.0,232.0,264.0,319.0,368.0,393.0,450.0,593.0,673.0,783.0,928.0,1116.0,1209.0,1326.0,1479.0,1638.0,1761.0,1926.0,2014.0,2075.0,2323.0,2538.0,2538.0,2745.0,2931.0,3200.0,3308.0,3442.0,3576.0,4034.0,4162.0,4575.0,4655.0,4734.0,4918.0,5038.0,5208.0,5288.0,5371.0,5778.0,5939.0,6111.0,6280.0,6447.0,6555.0,6741.0,6952.0,7214.0,7366.0,7537.0,7670.0,7870.0,8037.0,8194.0,8386.0,8529.0,8690.0,8809.0,8965.0,9066.0,9096.0,9171.0,9236.0
District of Columbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,10.0,10.0,10.0,16.0,17.0,22.0,31.0,39.0,71.0,77.0,98.0,116.0,137.0,183.0,231.0,267.0,304.0,342.0,401.0,495.0,586.0,586.0,653.0,757.0,902.0,998.0,1097.0,1211.0,1440.0,1523.0,1660.0,1778.0,1875.0,1875.0,2058.0,2197.0,2350.0,2476.0,2666.0,2793.0,2927.0,3098.0,3206.0,3361.0,3528.0,3699.0,3841.0,3892.0,3994.0,4106.0,4323.0,4658.0,4797.0,5016.0,5170.0,5322.0,5461.0,5654.0,5899.0,6102.0,6272.0,6389.0,6485.0,6584.0,6736.0,6871.0,7042.0,7123.0,7270.0,7434.0,7551.0,7788.0,7893.0,7966.0,8110.0,8225.0,8334.0,8406.0,8492.0,8538.0
Florida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,6.0,9.0,14.0,25.0,49.0,58.0,64.0,96.0,136.0,167.0,216.0,328.0,432.0,652.0,762.0,1005.0,1227.0,1412.0,1975.0,2439.0,3198.0,4038.0,4948.0,5704.0,6741.0,7559.0,9008.0,10268.0,11544.0,12350.0,13629.0,14747.0,15698.0,16826.0,17968.0,18986.0,19895.0,21019.0,21628.0,22519.0,23340.0,24747.0,25491.0,26312.0,27056.0,27868.0,28576.0,29647.0,30533.0,30836.0,31527.0,32136.0,32844.0,33192.0,33690.0,34725.0,35460.0,36078.0,36892.0,37429.0,38001.0,38828.0,39196.0,39998.0,40596.0,40982.0,41897.0,42388.0,43209.0,44134.0,44810.0,45585.0,46436.0,46940.0,47470.0,48671.0,49447.0,50127.0,50866.0,51745.0,52254.0,52633.0,53285.0,54497.0
