State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,1/4/2020,4578,12/28/2019,18523,1923741,0.96
Alabama,1/11/2020,3629,1/4/2020,21143,1923741,1.1
Alabama,1/18/2020,2483,1/11/2020,17402,1923741,0.9
Alabama,1/25/2020,2129,1/18/2020,18390,1923741,0.96
Alabama,2/1/2020,2170,1/25/2020,17284,1923741,0.9
Alabama,2/8/2020,2176,2/1/2020,16745,1923741,0.87
Alabama,2/15/2020,1981,2/8/2020,16571,1923741,0.86
Alabama,2/22/2020,1735,2/15/2020,16059,1923741,0.83
Alabama,2/29/2020,1575,2/22/2020,14721,1923741,0.77
Alabama,3/7/2020,1663,2/29/2020,13657,1923741,0.71
Alabama,3/14/2020,1819,3/7/2020,13070,1923741,0.68
Alabama,3/21/2020,10892,3/14/2020,12487,1923741,0.65
Alabama,3/28/2020,80984,3/21/2020,18083,1923741,0.94
Alabama,4/4/2020,106739,3/28/2020,52176,1923741,2.71
Alabama,4/11/2020,77515,4/4/2020,95325,1929897,4.94
Alabama,4/18/2020,66432,4/11/2020,144327,1929897,7.48
Alabama,4/25/2020,74966,4/18/2020,173855,1929897,9.01
Alabama,5/2/2020,28985,4/25/2020,214684,1929897,11.12
Alabama,5/9/2020,26666,5/2/2020,216856,1929897,11.24
Alabama,5/16/2020,25150,5/9/2020,203677,1929897,10.55
Alaska,1/4/2020,981,12/28/2019,10177,306493,3.32
Alaska,1/11/2020,1371,1/4/2020,9310,307329,3.03
Alaska,1/18/2020,1181,1/11/2020,9984,307329,3.25
Alaska,1/25/2020,1003,1/18/2020,9496,307329,3.09
Alaska,2/1/2020,1122,1/25/2020,9579,307329,3.12
Alaska,2/8/2020,980,2/1/2020,9161,307329,2.98
Alaska,2/15/2020,915,2/8/2020,9343,307329,3.04
Alaska,2/22/2020,773,2/15/2020,8864,307329,2.88
Alaska,2/29/2020,874,2/22/2020,8938,307329,2.91
Alaska,3/7/2020,815,2/29/2020,8266,307329,2.69
Alaska,3/14/2020,1120,3/7/2020,8522,307329,2.77
Alaska,3/21/2020,7847,3/14/2020,8512,307329,2.77
Alaska,3/28/2020,13774,3/21/2020,11173,307329,3.64
Alaska,4/4/2020,14590,3/28/2020,19845,307329,6.46
Alaska,4/11/2020,12007,4/4/2020,35365,308137,11.48
Alaska,4/18/2020,12201,4/11/2020,48096,308137,15.61
Alaska,4/25/2020,10313,4/18/2020,52022,308137,16.88
Alaska,5/2/2020,8718,4/25/2020,49893,308137,16.19
Alaska,5/9/2020,7807,5/2/2020,50971,308137,16.54
Alaska,5/16/2020,7741,5/9/2020,50049,308137,16.24
Arkansas,1/4/2020,2576,12/28/2019,15323,1193713,1.28
Arkansas,1/11/2020,2493,1/4/2020,15536,1195622,1.3
Arkansas,1/18/2020,1729,1/11/2020,13229,1195622,1.11
Arkansas,1/25/2020,1683,1/18/2020,12331,1195622,1.03
Arkansas,2/1/2020,1837,1/25/2020,13210,1195622,1.1
Arkansas,2/8/2020,1724,2/1/2020,12964,1195622,1.08
Arkansas,2/15/2020,1602,2/8/2020,12979,1195622,1.09
Arkansas,2/22/2020,1055,2/15/2020,12546,1195622,1.05
Arkansas,2/29/2020,1418,2/22/2020,12244,1195622,1.02
Arkansas,3/7/2020,1843,2/29/2020,11618,1195622,0.97
Arkansas,3/14/2020,1382,3/7/2020,11514,1195622,0.96
Arkansas,3/21/2020,9275,3/14/2020,10988,1195622,0.92
Arkansas,3/28/2020,27756,3/21/2020,16148,1195622,1.35
Arkansas,4/4/2020,62086,3/28/2020,36499,1195622,3.05
Arkansas,4/11/2020,35629,4/4/2020,66511,1196468,5.56
Arkansas,4/18/2020,25404,4/11/2020,91278,1196468,7.63
Arkansas,4/25/2020,17671,4/18/2020,109337,1196468,9.14
Arkansas,5/2/2020,13448,4/25/2020,119332,1196468,9.97
Arkansas,5/9/2020,13152,5/2/2020,122522,1196468,10.24
Arkansas,5/16/2020,11427,5/9/2020,122408,1196468,10.23
Arizona,1/4/2020,3132,12/28/2019,17991,2864180,0.63
Arizona,1/11/2020,4654,1/4/2020,18259,2864180,0.64
Arizona,1/18/2020,4152,1/11/2020,18421,2864180,0.64
Arizona,1/25/2020,3475,1/18/2020,18401,2864180,0.64
Arizona,2/1/2020,3807,1/25/2020,18854,2864180,0.66
Arizona,2/8/2020,3636,2/1/2020,18461,2864180,0.64
Arizona,2/15/2020,3538,2/8/2020,18516,2864180,0.65
Arizona,2/22/2020,3151,2/15/2020,18217,2864180,0.64
Arizona,2/29/2020,3086,2/22/2020,18137,2864180,0.63
Arizona,3/7/2020,3357,2/29/2020,17593,2864180,0.61
Arizona,3/14/2020,3844,3/7/2020,17595,2864180,0.61
Arizona,3/21/2020,29348,3/14/2020,18108,2864180,0.63
Arizona,3/28/2020,88940,3/21/2020,26387,2864180,0.92
Arizona,4/4/2020,132428,3/28/2020,62597,2864180,2.19
Arizona,4/11/2020,98531,4/4/2020,120592,2864180,4.21
Arizona,4/18/2020,72457,4/11/2020,170262,2885408,5.9
Arizona,4/25/2020,52581,4/18/2020,196401,2885408,6.81
